UserID,Gender,Age Group,Top 6 most preferred dishes,laksa,Chili Crab,Char Kway Teow,hainanese chicken rice,Sliced Fish Soup,Fish and Chips,Chinese Economy Rice,Japanese Bento,Curry laksa,Yu Sheng,Duck Rice,Fish Head Curry,Bak Kut Teh,Hokkien Mee,Kway Chap,Roti Prata,Black Pepper Crab,Roti John,Cereal Prawn,Beef Kway Teow,Katong laksa,Sambal Stingray,Crab Bee Hoon Soup,Satay,sum
430,Female,25 - 54,"Laksa , Char Kway Teow, Hainanese Chicken Rice, Fish and Chips, Japanese Bento, Bak Kut Teh",1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
103,Male,65 and above,"Char Kway Teow, Hainanese Chicken Rice, Sliced Fish Soup, Chinese Economy Rice, Kway Chap, Sambal Stingray",0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6
581,Male,25 - 54,"Laksa , Sliced Fish Soup, Chinese Economy Rice,Curry laksa, Duck Rice, Crab Bee Hoon Soup",1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,6
816,Male,14 and below,"Hainanese Chicken Rice, Sliced Fish Soup, Chinese Economy Rice, Japanese Bento, Hokkien Mee, Satay",0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,6
735,Female,15 - 24,"Char Kway Teow, Hainanese Chicken Rice, Japanese Bento, Kway Chap, Roti Prata, Beef Kway Teow",0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,6
725,Female,15 - 24,"Laksa , Fish and Chips, Japanese Bento, Yu Sheng, Roti Prata, Beef Kway Teow",1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
418,Female,25 - 54,"Chili Crab, Fish Head Curry, Cereal Prawn, Beef Kway Teow, Crab Bee Hoon Soup, Satay",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,6
664,Male,15 - 24,"Laksa , Hainanese Chicken Rice, Chinese Economy Rice, Bak Kut Teh, katong laksa, Satay",1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,6
835,Male,14 and below,"Laksa , Hainanese Chicken Rice, Japanese Bento, Fish Head Curry, Hokkien Mee, Cereal Prawn",1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,6
519,Male,25 - 54,"Char Kway Teow, Hainanese Chicken Rice, Chinese Economy Rice, Hokkien Mee, Kway Chap, Roti Prata",0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6
622,Male,15 - 24,"Char Kway Teow, Hainanese Chicken Rice, Sliced Fish Soup, Bak Kut Teh, Kway Chap, Satay",0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,6
277,Female,55 - 64,"Char Kway Teow, Hainanese Chicken Rice, Sliced Fish Soup,Curry laksa, Duck Rice, Roti John",1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,6
78,Female,65 and above,"Sliced Fish Soup, Chinese Economy Rice, Yu Sheng, Bak Kut Teh, Hokkien Mee, Crab Bee Hoon Soup",1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,6
331,Male,55 - 64,"Hainanese Chicken Rice, Sliced Fish Soup, Fish and Chips, Hokkien Mee, Black Pepper Crab, Cereal Prawn",0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,6
842,Male,14 and below,"Laksa , Char Kway Teow, Fish and Chips, Roti Prata, Cereal Prawn, Satay",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,6
901,Female,14 and below,"Hainanese Chicken Rice, Fish and Chips, Japanese Bento, Hokkien Mee, Roti Prata, Beef Kway Teow",0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,6
238,Female,55 - 64,"Chili Crab, Hainanese Chicken Rice, Fish and Chips, Fish Head Curry, Black Pepper Crab, Sambal Stingray",0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6
567,Male,25 - 54,"Chili Crab, Hainanese Chicken Rice, Sliced Fish Soup, Chinese Economy Rice, Hokkien Mee, Roti Prata",0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6
