UserID,Gender,Age Group,Top 6 most preferred places,1-Altitude Sightseeing Experience,Adventure Cove Waterpark,AJ Hackett Sentosa Bungy Jump,Asian Civilisations Museum,Buddha Tooth Relic Temple and Museum,Bugis Street,Bukit Timah Nature Reserve,Butterfly Park And Insect Kingdom,China Town,Clarke Quay,Dolphin Island Interaction Program,Driving on the F1 Track,Gardens By The Bay,IFly Singapore,Indoor Surfing Wave House Sentosa,Infinity Pool at Marina Bay Sands,Jurong Bird Park,Kidzania Singapore,Kusu Island,Lazarus Island,Little India,Lunch with Parrots,Madame Tussauds Wax Museum,Marina Bay Sands Casino,Marina Bay Singapore,Megazip,Merlion Park,Mount Faber Park,National Orchid Garden,Night Safari Nocturnal Wildlife Park,Palawan Beach,Pulau Ubin,River Wonders Singapore,Royal Albatross Sunset Sail,SEA Aquarium,Sentosa Island,Sentosa Merlion Tower,Siloso Beach,Singapore Airzone,Singapore Botanic Gardens,Singapore Cable Car,Singapore Flyer,Singapore River Cruise,Singapore Zoo Jungle Breakfast,Singapore Zoo,Skyline Luge,Sri Mariamman Temple,Tanjong Beach,The Helix Bridge,The Original Duck Tours Sentosa,Tiger Brewery,Tree-top Walk at MacRitchie Reservoir,Trick Eye Museum,Universal Studios Singapore,Wings of Time,sum
1,Female,14 and below,"1-Altitude Sightseeing Experience, Asian Civilisations Museum, Dolphin Island Interaction Program, Jurong Bird Park, Lunch with Parrots, Singapore Zoo",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
2,Female,14 and below,"Adventure Cove Waterpark, Dolphin Island Interaction Program, Indoor Surfing Wave House Sentosa, SEA Aquarium, Sentosa Island, Universal Studios Singapore",0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
3,Female,14 and below,"AJ Hackett Sentosa Bungy Jump, IFly Singapore, Indoor Surfing Wave House Sentosa, Megazip, Singapore Airzone, Skyline Luge",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
4,Female,14 and below,"Asian Civilisations Museum, Dolphin Island Interaction Program, Madame Tussauds Wax Museum, Singapore Botanic Gardens, The Helix Bridge, Trick Eye Museum",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,6
5,Female,14 and below,"Buddha Tooth Relic Temple and Museum, Bugis Street, China Town, Clarke Quay, Sentosa Island, Universal Studios Singapore",0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
6,Female,14 and below,"Bukit Timah Nature Reserve, Gardens By The Bay, Kusu Island, Mount Faber Park, National Orchid Garden, Singapore Botanic Gardens",0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
7,Female,14 and below,"Butterfly Park And Insect Kingdom, Gardens By The Bay, Jurong Bird Park, Lunch with Parrots, National Orchid Garden, Tree-top Walk at MacRitchie Reservoir",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
8,Female,14 and below,"Adventure Cove Waterpark, Dolphin Island Interaction Program, Lunch with Parrots, Night Safari Nocturnal Wildlife Park, River Wonders Singapore, SEA Aquarium",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
9,Female,14 and below,"AJ Hackett Sentosa Bungy Jump, Driving on the F1 Track, IFly Singapore, Indoor Surfing Wave House Sentosa, Marina Bay Sands Casino, Tiger Brewery",0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6
10,Female,14 and below,"Gardens By The Bay, Infinity Pool at Marina Bay Sands, Marina Bay Singapore, Merlion Park, Sentosa Merlion Tower, Wings of Time",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
11,Female,14 and below,"AJ Hackett Sentosa Bungy Jump, IFly Singapore, Indoor Surfing Wave House Sentosa, Kidzania Singapore, Singapore Airzone, Skyline Luge",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
12,Female,14 and below,"Clarke Quay, Infinity Pool at Marina Bay Sands, Singapore Cable Car, Singapore Flyer, The Helix Bridge, Tree-top Walk at MacRitchie Reservoir",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,6
13,Female,14 and below,"Dolphin Island Interaction Program, Kidzania Singapore, Lunch with Parrots, Night Safari Nocturnal Wildlife Park, Singapore Zoo Jungle Breakfast, Singapore Zoo",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
14,Female,14 and below,"Kusu Island, Lazarus Island, Palawan Beach, Pulau Ubin, Siloso Beach, Tanjong Beach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6
15,Female,14 and below,"Bugis Street, Gardens By The Bay, Little India, Night Safari Nocturnal Wildlife Park, Singapore Zoo, Sri Mariamman Temple",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,6
16,Female,14 and below,"Jurong Bird Park, Lunch with Parrots, Night Safari Nocturnal Wildlife Park, River Wonders Singapore, Singapore Zoo Jungle Breakfast, Singapore Zoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
17,Female,14 and below,"1-Altitude Sightseeing Experience, Asian Civilisations Museum, Madame Tussauds Wax Museum, SEA Aquarium, Trick Eye Museum, Universal Studios Singapore",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6
18,Female,14 and below,"Clarke Quay, Gardens By The Bay, Marina Bay Singapore, Merlion Park, Sentosa Merlion Tower, Universal Studios Singapore",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
19,Female,14 and below,"Bukit Timah Nature Reserve, Megazip, Mount Faber Park, National Orchid Garden, Singapore Botanic Gardens, Tree-top Walk at MacRitchie Reservoir",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
20,Female,14 and below,"Gardens By The Bay, Marina Bay Singapore, Merlion Park, Sentosa Island, Sentosa Merlion Tower, Wings of Time",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
21,Female,14 and below,"Palawan Beach, Pulau Ubin, Siloso Beach, Singapore River Cruise, Tanjong Beach, The Original Duck Tours Sentosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,6
22,Female,14 and below,"Jurong Bird Park, Night Safari Nocturnal Wildlife Park, River Wonders Singapore, SEA Aquarium, Singapore Zoo Jungle Breakfast, Singapore Zoo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6
