id,name,website
1,Artsy Style (F),ETSY
2,Biker Style (F),SELFRIDGES
3,Bohemian Style (F),BOHEMIAN BAE
4,Casual Style (F),UNIQLO
5,Chic Style (F),BANGGOOD
6,Classy Style (F),MANGO
7,Comfy Style (F),SSENSE
8,Ethnic Style (F),SAREEO
9,Evening Style (F),LIGHT IN THE BOX
10,Formal Office Style (F),G2000
11,Girl Next Door Style (F),EVERLANE
12,Grunge Style (F),COSMIQUE STUDIO
13,Hip Hop Style (F),ASOS
14,Indie Style (F),UNIF CLOTHING
15,Kpop Style (F),MIXXMIX
16,Lolita Style (F),ETSY
17,Preppy Style (F),SHOPEE
18,Punk Style (F),SHEIN 
19,Sexy Style (F),SHEIN 
20,Sporty Style (F),LULULEMON
21,Streetwear Style (F),ASOS
22,Vacation Style (F),COTTON ON
23,Vintage Style (F),SHEIN 
24,Y2k Style (F),UNIF CLOTHING
25,Artsy Style (M),ASOS
26,Biker Style (M),ZALORA
27,Bohemian Style (M),ASOS
28,Boy Next Door Style (M),COTTON ON
29,Casual Style (M),H&M
30,Chic Style (M),ZARA
31,Classy Style (M),KOODING
32,Comfy Style (M),SSENSE
33,Ethnic Style (M),SHEIN 
34,Evening Style (M),MANGO
35,Formal Office Style (M),G2000
36,Grunge Style (M),URBAN OUTFITTERS
37,Hip Hop Style (M),ASOS
38,Indie Style (M),KOODING
39,Ivy Style (M),LAZADA
40,Preppy Style (M),COTTON ON
41,Punk Style (M),PALALEATHER
42,Rugged Style (M),SSENSE
43,Sporty Style (M),NIKE
44,Streetwear Style (M),KOODING
45,Vacation Style (M),KOODING
46,Varsity Style (M),ASOS
47,Vintage Style (M),ASOS
48,Y2k Style (M),ASOS
