id,name,rating,description
1,laksa,4.4,"Characterized by its rich and spicy broth, this comforting noodle soup is one of the classic dishes found in many Southeast Asian countries. It was developed under the influence of different culinary traditions, which has led to the creation of numerous regional varieties that differ in flavors and ingredients.  Two of the most famous versions are the sour, tamarind-based asam laksa and the creamy curry laksa. Especially favored in Malaysia, Singapore, and Indonesia, laksa is usually prepared and enjoyed at hawker centers as a hearty main course."
2,Chili Crab,3.9,"Like many other dishes in Asia, chilli crab started as a street food item, but it has eventually become so popular that today it is considered to be the national dish of Singapore. It consists of a stir-fried crab covered in a succulent, spicy sauce.  The story of chilli crab's origin is a well-known anecdote - it was invented in the 1950s by Cher Yam Tian, who wanted to modify her stir-fried crab recipe by adding bottled chili sauce into the dish. The result was so delicious that her family persuaded her to start selling the dish, so chilli crab began its way to become the signature dish of Singapore.  The dish is served in many restaurants in the country, and since the crab is served in a shell, the consumption of chilli crab is a unique experience. The diners must use their hands to crack the shell open in order to get hold of the tender crab meat hiding on the inside.  Usually, mallets or nutcrackers are used to ease the whole procedure. Bread is commonly served together with the crab, and it is mainly used to soak up the delicious spicy gravy."
3,Char Kway Teow,3.7,"Char kway teow is one of the most popular street dishes in Malaysia and Singapore. Despite numerous regional varieties, it is usually made with flat rice noodles, shrimps, eggs, cockles, bean sprouts, chives, and Chinese sausage. All the ingredients are usually fried and coated in soy sauce, while some versions also incorporate shrimp paste, garlic, fried pork lard, and sometimes even yellow wheat noodles.  Among the numerous theories about the origin of the dish, the most popular claims that it was invented in the Singaporean Teochew community by Chinese immigrants, while the name stems from Hokkien, char meaning fried and kway teow denoting flat rice noodles.  Classic Teochew variety that is lighter and slightly drier than the Singaporean counterpart is especially popular in Malaysian Penang where it is considered to be a signature dish of the region. Originally, char kway teow was a poor man’s dish made by farmers and fishermen out of leftover ingredients.  Realizing how delicious this combination is, they started selling it on the street, and it quickly caught on. Apart from Singapore and Malaysian Penang, a variety of char kway teow is also found in Indonesia. In Penang, some vendors still serve it on banana and palm leaves, the way it was traditionally served from its beginnings."
4,hainanese chicken rice,3.4,"Originally invented on Hainan, a tropical island located south of China, the humble Hainanese chicken rice has evolved into one of the most popular dishes in Singapore. It consists of steamed chicken that is cut into bite-sized pieces, then served with fragrant white rice.  When plated, the dish is drizzled with soy sauce and sesame oil, and it is served with sliced cucumbers and a spicy chili sauce. Frequently, the steaming liquid is subsequently spiced and served as a soup. The recipe was brought to Singapore by Hainanese migrants in the 19th century, and the first vendor selling this unique dish in Singapore opened his stall in the 1940s.  There is, however, some difference between the Hainanese and Singaporean varieties of the dish: the Hainanese prefer to use pork broth and serve the dish with pounded ginger instead of chili sauce. Regardless of the original, the Singaporean version became the favorite variety, and today it is often referred to only as Singaporean chicken rice.  Although it is also served in restaurants, this well-known dish is usually sold by street vendors which can be found on every street corner in Singapore."
5,Sliced Fish Soup,3.6,"Sliced fish soup is a dish in Singapore, believed to have originated from the Teochews. It consists of fish, vegetables, and beancurd; with the addition of cuttlefish and prawns, the dish is called seafood soup. The dish with a Teochew origin, Sliced Fish Soup typically contains fresh or deep-fried sliced fish in steamy broth. It can be coupled with thick vermicelli (”cu mi fen”), kway teow noodles, or rice, and various assortment of veggies.

A popular hawker dish to have especially during days when we want to eat healthier, a bowl of sliced fish beehoon soup is also high in protein and about 349 kcal."
6,Fish and Chips,3.7,"Fish and chips is a popular hot dish consisting of fried fish in crispy batter, served with chips. The dish originated in England, where these two components had been introduced from separate immigrant cultures; it is not known who created the culinary fusion that became the emblematic British meal."
7,Chinese Economy Rice,3.2,"Economy rice or economic rice is a type of food or food stall serving many dishes accompanied by rice, commonly found in hawker centres.  In Singapore, it is commonly known as cai png. Economy rice stalls typically consist of a case containing anywhere from 10-15 troughs of cooked food, including meat, vegetables, eggs and tofu dishes. Customers select any combination of these dishes, which are served accompanied by a portion of steamed white rice. In Singapore, it is more common to find the food on open troughs kept warm by hot water and an electric heater below."
8,Japanese Bento,3.5,"A bento is a single-portion take-out or home-packed meal of Japanese origin. Outside Japan, it is common in Chinese and Korean cuisines, as well as in Southeast Asian cuisines where rice is the main staple food. A traditional bento may contain rice or noodles with fish or meat, often with pickled and cooked vegetables in a box."
9,Curry laksa,3.9,"Curry laksa is a spicy noodle soup commonly eaten in Malaysia (curry mee), Singapore, and Indonesia. It is a true fusion dish, influenced by Indian, Chinese, and Southeast Asian culinary traditions. It is one of the numerous varieties of laksa, the quintessential noodle soups of Southeast Asia.  Curry laksa is the favorite variety in Singapore, where it is often referred to only as laksa. The basis for this creamy dish is made with curry and coconut milk which form the unusual sweet and spicy sauce. Although very similar to curry, the sauce for laksa is usually much thinner, but still has a strong and rich flavor.  Traditionally, thin rice noodles are used in curry laksa, and they are often cut into smaller pieces in order to ease the consumption. Other ingredients include tofu puffs, prawns, and fishcakes. The most traditional versions of curry laksa also include a very unusual ingredient - cockles, saltwater clams which are usually served raw.  Before serving, the dish is spiced with a dollop of traditional chili sauce and chopped coriander leaves. In Singapore, it is the most common hawker-style dish, and many vendors prepare curry laksa as their signature dish."
10,Yu Sheng,3.6,"Usually consumed during the Chinese New Year celebrations, yusheng is a tasty salad made with slices of raw fish and shredded vegetables which are seasoned with spices and various toppings such as peanuts and sesame seeds. The dish is additionally flavored with yusheng sauce, most commonly consisting of plum sauce and sesame oil.  The origins of the dish can be traced to south China, but nowadays, especially since the dish was repopularized in the 1960s in Singapore, the dish is eaten predominantly by the Chinese living in Singapore and Malaysia. Yusheng is typically presented as an appetizer in a multi-course dinner and is served in a very peculiar way - in a ceremony known as lo hei, as each ingredient is added to the plate, people gathered around the table will say auspicious greetings related to that ingredient.  Once all the ingredients have been introduced on the plate, everyone will (on cue, and by using their chopsticks) toss the ingredients as high as they can while at the same time loudly proclaiming their New Year's wishes, and by doing so, predestine themselves to have a prosperous year."
