id,name,rating,description,,location
1,laksa,4.4,"Laksa is a spicy noodle dish popular in Southeast Asia. Laksa consists of various types of noodles, most commonly thick rice noodles, with toppings such as chicken, prawn or fish. Most variations of laksa are prepared with a rich and spicy coconut soup or a broth seasoned with sour asam (tamarind or gelugur).Originating from Peranakan culture, laksa is commonly served in Indonesia, Malaysia, Singapore, and southern Thailand.",,"Meixi's Kitchen ,  Ang Mo Kio Ave 4"
2,Chili Crab,4.2,"Chilli crab is a popular seafood dish among locals and foreigners in Singapore, and consists of mud crabs deep-fried in a sweet, savoury and spicy gravy. It has been referred to in various food publications as Singapore’s national seafood dish or even Singapore’s national dish.The dish consists of deep-fried crabs that are served in a chilli- and tomato-based gravy.9 Mud crabs are normally used and these are usually Sri Lankan, Burmese or Filipino in origin.After the crab has been cleaned and chopped into smaller pieces, it is deep-fried in oil and then deep-fried again in the gravy. Corn flour and beaten eggs are added near the end of the cooking process to thicken the gravy.As the crab is served with the shell on, the dish is typically eaten with one’s hands. Most restaurants will therefore provide wet towels or washing bowls. The pincers contain the most meat, but the meat from the body and legs tends to be smoother. To access the meat, diners have to strip away the somewhat intact but cracked shell. Sometimes they may have to crack the shell further using nutcrackers and mallets provided by the restaurants. The top shell, which is separated from the main body, may contain roe if the crab was female.Bread is often eaten with chilli crab. A favourite way of eating is to sop up the spicy sweet and sour gravy with the bread, which could be soft white bread, baguette or fried Chinese buns called mantou.",,"Hai Zhong Bao Live Seafood ,Ang Mo Kio Ave 3, #01-2508 Block 422"
3,Char Kway Teow,3.5,"Char kway teow is a dish of flat rice noodles and tubular yellow wheat noodles fried in garlic, sweet soya sauce and lard, with ingredients such as egg, Chinese waxed sausage, fishcake, beansprouts and cockles.The dish, of Teochew origins, is a familiar one in hawker centres, coffeeshops and food courts in Singapore.In the Hokkien vernacular, char means “stir-fried” and kway teow refers to flat rice noodles.3 To prepare the dish, rice sheets are cut into thin noodle strips. The flat noodles are then combined with thick yellow wheat noodles and stir-fried in dark, sweet soya sauce, garlic and lard.Other ingredients include cockles (popularly known as see hum or just hum in Hokkien), lup cheong (referring to “Chinese waxed sausages” in Cantonese), beansprouts and chicken eggs.A sprinkling of cut cai xin (an Asian leafy vegetable; alternatively referred to as chye sim or choi sum in Hokkien and Cantonese respectively) and chopped chives add a touch of green to the dish. The cockles and other meats are usually put in last in order to retain their juiciness and prevent overcooking.A hot fire gives a wok hei (Cantonese for “smoky aroma”) essential to this dish, and a charcoal fire is believed to provide the best flavours. Skilled control of the fire lends the dish its trademark smoky fragrance, which is also the mark of a good plate of char kway teow.As late as the 1950s, some hawkers used firewood instead of gas fires to cook char kway teow, so as to infuse the dish with a smoky flavour.Sweet black soya sauce, sweet flour sauce, light soya sauce and fish sauce give colour and flavour to the dish. A savoury, sour chilli sauce is typically added at the end or placed at the side of the dish for those who want a spicier char kway teow.Hawkers usually cook each dish individually, ensuring that each portion is thoroughly flavoured with the ingredients before serving.",," Char Kway Teow. Porridge Stall,Block 505 Ang Mo Kio Ave 8"
4,hainanese chicken rice,4.4,"The Hainanese chicken rice is a dish that consists of succulent steamed white chicken cut into bite-size pieces and served on fragrant rice with some light soy sauce. The dish is topped with sprigs of coriander leaf and sesame oil, and accompanied by a garlic-chilli dip.The rich flavour of the rice comes from the grains that have been pre-fried in chicken fat and then cooked in chicken broth. The chicken is steamed until it is just cooked, with a little pink remaining on the flesh near the bones. While the cut chicken is presented on a large dish, the rice is served on individual plates. The dish is accompanied with a chilli sauce made of chillies, chicken broth, garlic and ginger. A thick broth of chicken stock, garnished with a sprinkle of spring onions and coriander leaves, is also a must.

An early version of the dish featured rice compacted into balls. The rice balls were made of shorter-grained rice, and cooked with pandan leaves and ginger slices over a controlled fire.10 The rice is then shaped into balls with bare hands before it goes cold.11 This version of the dish is seldom seen in Singapore now.12",,"Ang Mo Kio Avenue 8, #01-2843 Blk 925 Yishun Hainanese Chicken Rice@ AMK722"
5,Sliced Fish Soup,4.4,"Sliced fish soup is a dish in Singapore, believed to have originated from the Teochews. It consists of fish, vegetables, and beancurd; with the addition of cuttlefish and prawns, the dish is called seafood soup. The dish with a Teochew origin, Sliced Fish Soup typically contains fresh or deep-fried sliced fish in steamy broth. It can be coupled with thick vermicelli (”cu mi fen”), kway teow noodles, or rice, and various assortment of veggies.

A popular hawker dish to have especially during days when we want to eat healthier, a bowl of sliced fish beehoon soup is also high in protein and about 349 kcal.",,"Yun Seafood Fishhead Steamboat, Block 632 HDB Ang Mo Kio Avenue 4"
6,Fish and Chips,4,"Fish and chips is a popular hot dish consisting of fried fish in crispy batter, served with chips (French fries or wedges). The dish originated in England, where these two components had been introduced from separate immigrant cultures; it is not known who created the culinary fusion that became the emblematic British meal. Often considered Britain's national dish, fish and chips is a common take-away food in the United Kingdom and numerous other countries, particularly in English-speaking and Commonwealth nations.",,"Fish & Chicks, Happy Hawkers,Blk, 531 Ang Mo Kio Ave 10, #01-2429 "
7,Chinese Economy Rice,3.8,"Economy rice or economic rice is a type of food or food stall serving many dishes accompanied by rice, commonly found in hawker centres, street vendors or food courts in Malaysia, Singapore, Indonesia, Thailand, and Vietnam. In Singapore, it is commonly known as cai png.Economy rice stalls typically consist of a case containing anywhere from 10-15 troughs of cooked food, including meat, vegetables, eggs and tofu dishes. Customers select any combination of these dishes, which are served accompanied by a portion of steamed white rice. In Singapore, it is more common to find the food on open troughs kept warm by hot water and an electric heater below.Better quality economy rice stalls have warmers beneath the troughs of food which ensure that food is served hot.",,"Foy Yin Vegetarian Food,  Ang Mo Kio Ave 4"
8,Japanese Bento,4.6,"A bento  is a single-portion take-out or home-packed meal of Japanese origin. Outside Japan, it is common in Chinese and Korean cuisines, as well as in Southeast Asian cuisines where rice is the main staple food. A traditional bento may contain rice or noodles with fish or meat, often with pickled and cooked vegetables in a box.Containers range from mass-produced disposables to hand-crafted lacquerware. Often various dividers are used to separate ingredients or dishes, especially those with strong flavors, to avoid them affecting the taste of the rest of the meal. A typical divider is green plastic grass (referred to as 'sushi grass' in the United States). This also works to stem the growth of bacteria.Bento are readily available in many places throughout Japan, including convenience stores, bento shops, railway stations, and department stores. However, Japanese homemakers often spend time and energy on carefully prepared box lunches for their spouses, children, or themselves. Outside Japan, the term bento box may be used (e.g., on English menus for Japanese restaurants).
Bentos can be elaborately arranged in a style called ""kyaraben"" (""character bento""), which are typically decorated to look like popular characters from Japanese animation (anime), comic books (manga), or video games. Another popular bento style is ""oekakiben"" or ""picture bento"". This is decorated to look like people, animals, buildings and monuments or items such as flowers and plants. Contests are often held where bento arrangers compete for the most aesthetically attractive arrangements.

There are somewhat comparable forms of boxed lunches in East Asian countries including mainland China and Taiwan (biànd?ng in Mandarin and ""pi?n-tong"" in Taiwanese Hokkien) and Korea (dosirak), and in Southeast Asian countries such as the Philippines (baon) and Thailand (pin-tou). Hawaiian culture has also adopted localized versions of bento featuring local tastes after over a century of Japanese influence.

There has also been discussion regarding what the bento means for Japanese society and what it represents. The analyses range from a simple semiotic approach to one that outlines the deeper ideological meanings behind the bento.",,"Casuarina Road, Tamako Meal, Casuarina Rd"
9,Curry laksa,4.4,"Curry laksa is a spicy noodle soup commonly eaten in Malaysia (curry mee), Singapore, and Indonesia. It is a true fusion dish, influenced by Indian, Chinese, and Southeast Asian culinary traditions. It is one of the numerous varieties of laksa, the quintessential noodle soups of Southeast Asia.  Curry laksa is the favorite variety in Singapore, where it is often referred to only as laksa. The basis for this creamy dish is made with curry and coconut milk which form the unusual sweet and spicy sauce. Although very similar to curry, the sauce for laksa is usually much thinner, but still has a strong and rich flavor.  Traditionally, thin rice noodles are used in curry laksa, and they are often cut into smaller pieces in order to ease the consumption. Other ingredients include tofu puffs, prawns, and fishcakes. The most traditional versions of curry laksa also include a very unusual ingredient - cockles, saltwater clams which are usually served raw.  Before serving, the dish is spiced with a dollop of traditional chili sauce and chopped coriander leaves. In Singapore, it is the most common hawker-style dish, and many vendors prepare curry laksa as their signature dish.",,"Nonya Curry Mixed Veg Rice,  Ang Mo Kio Ave 4"
10,Yu Sheng,3.6,"Yusheng , meaning “raw fish” in Chinese, is a salad dish comprising thin slices of raw fish and various seasonings that are mixed together as diners toss the ingredients. It is a dish usually eaten during Chinese New Year. Traditionally a simple dish with few ingredients, the yusheng recipe has evolved over the decades and now comprises a wide variety of ingredients.The custom of having the dish on the seventh day of the Chinese New Year, also known as renri, was brought to Singapore with the migration of Cantonese and Teochew people from China in the 19th century. It is believed that the Chinese from Jiangmen, Guangdong province, were the first to start selling the dish in Singapore, which comprised raw fish slices tossed with ginger slices, spring onion, coriander, sesame seeds, lime juice and oil.Traditionally, there are two types of yusheng consumed in Singapore – Cantonese and Teochew. The Cantonese yusheng is eaten on the seventh day of the Lunar New Year – the meal is shared amongst businessmen to ensure a prosperous year ahead. Thinly sliced raw fish is served with an array of vegetables and tossed together in a piquant sauce. Porridge may be served to wash down the taste of the raw fish. For the Teochews, the dish, known as husay, is eaten throughout the new year period. The fish is first air-dried before it is sliced, topped with sesame seeds and served with sliced vegetables and a sweet-and-sour sauce.

Restaurants in Chinatown used to deliver yusheng directly to customers. Delivery assistants balanced the ingredients on a wooden tray balanced on their heads. One mai (serving) would be placed on a pedestal dish and covered with a conical tin, with the condiments wrapped up in what resembled a hongbao (red packet). Young children were discouraged from consuming it because it was thought to trigger epilepsy.",,"Shen Ji Tong Guo Chuan, Ang Mo Kio Ave 6, #01-05"
