UserID,Gender,Age Group,Top 6 most preferred style,Artsy Style (F),Biker Style (F),Bohemian Style (F),Casual Style (F),Chic Style (F),Classy Style (F),Comfy Style (F),Ethnic Style (F),Evening Style (F),Formal Office Style (F),Girl Next Door Style (F),Grunge Style (F),Hip Hop Style (F),Indie Style (F),Kpop Style (F),Lolita Style (F),Preppy Style (F),Punk Style (F),Sexy Style (F),Sporty Style (F),Streetwear Style (F),Vacation Style (F),Vintage Style (F),Y2k Style (F),Artsy Style (M),Biker Style (M),Bohemian Style (M),Boy Next Door Style (M),Casual Style (M),Chic Style (M),Classy Style (M),Comfy Style (M),Ethnic Style (M),Evening Style (M),Formal Office Style (M),Grunge Style (M),Hip Hop Style (M),Indie Style (M),Ivy Style (M),Preppy Style (M),Punk Style (M),Rugged Style (M),Sporty Style (M),Streetwear Style (M),Vacation Style (M),Varsity Style (M),Vintage Style (M),Y2k Style (M),sum
1,Female,15 - 24,"Artsy Style (F), Ethnic Style (F), Girl Next Door Style (F), Kpop Style (F), Preppy Style (F), Vacation Style (F)",1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2,Male,15 - 24,"Bohemian Style (M), Boy Next Door Style (M), Casual Style (M), Chic Style (M), Classy Style (M), Comfy Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,Female,15 - 24,"Comfy Style (F), Grunge Style (F), Hip Hop Style (F), Lolita Style (F), Punk Style (F), Sexy Style (F)",0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
4,Male,15 - 24,"Biker Style (M), Casual Style (M), Classy Style (M), Comfy Style (M), Punk Style (M), Streetwear Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6
5,Female,15 - 24,"Casual Style (F), Comfy Style (F), Girl Next Door Style (F), Indie Style (F), Kpop Style (F), Streetwear Style (F)",0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6,Male,15 - 24,"Bohemian Style (M), Boy Next Door Style (M), Casual Style (M), Comfy Style (M), Preppy Style (M), Vacation Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6
7,Female,15 - 24,"Biker Style (F), Casual Style (F), Classy Style (F), Comfy Style (F), Girl Next Door Style (F), Streetwear Style (F)",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
8,Female,25 - 54,"Bohemian Style (F), Classy Style (F), Comfy Style (F), Formal Office Style (F), Girl Next Door Style (F), Streetwear Style (F)",0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
9,Male,15 - 24,"Biker Style (M), Casual Style (M), Comfy Style (M), Evening Style (M), Preppy Style (M), Vacation Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,6
10,Male,15 - 24,"Bohemian Style (M), Boy Next Door Style (M), Casual Style (M), Comfy Style (M), Sporty Style (M), Vacation Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6
11,Male,15 - 24,"Artsy Style (M), Classy Style (M), Comfy Style (M), Streetwear Style (M), Vintage Style (M), Y2k Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,6
12,Female,15 - 24,"Comfy Style (F), Ethnic Style (F), Hip Hop Style (F), Indie Style (F), Sexy Style (F), Streetwear Style (F)",0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
13,Male,15 - 24,"Classy Style (M), Comfy Style (M), Formal Office Style (M), Punk Style (M), Streetwear Style (M), Varsity Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,6
14,Female,15 - 24,"Casual Style (F), Comfy Style (F), Girl Next Door Style (F), Hip Hop Style (F), Punk Style (F), Streetwear Style (F)",0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
15,Female,15 - 24,"Casual Style (F), Comfy Style (F), Formal Office Style (F), Girl Next Door Style (F), Preppy Style (F), Sexy Style (F)",0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
16,Male,55 - 64,"Biker Style (M), Casual Style (M), Chic Style (M), Evening Style (M), Grunge Style (M), Ivy Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6
17,Male,15 - 24,"Bohemian Style (M), Boy Next Door Style (M), Casual Style (M), Preppy Style (M), Sporty Style (M), Varsity Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,6
18,Female,14 and below,"Artsy Style (F), Indie Style (F), Lolita Style (F), Preppy Style (F), Vintage Style (F), Y2k Style (F)",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
19,Male,55 - 64,"Biker Style (M), Casual Style (M), Chic Style (M), Evening Style (M), Grunge Style (M), Ivy Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,6
20,Female,15 - 24,"Biker Style (F), Casual Style (F), Classy Style (F), Comfy Style (F), Girl Next Door Style (F), Streetwear Style (F)",0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
21,Female,15 - 24,"Artsy Style (F), Bohemian Style (F), Chic Style (F), Ethnic Style (F), Formal Office Style (F), Girl Next Door Style (F)",1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
22,Female,15 - 24,"Biker Style (F), Casual Style (F), Chic Style (F), Classy Style (F), Hip Hop Style (F), Streetwear Style (F)",0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
23,Male,15 - 24,"Biker Style (M), Boy Next Door Style (M), Casual Style (M), Punk Style (M), Vacation Style (M), Varsity Style (M)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6
24,Female,25 - 54,"Bohemian Style (F), Comfy Style (F), Hip Hop Style (F), Sexy Style (F), Sporty Style (F), Vacation Style (F)",0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
