Timestamp,Age,Gender,Please select 6 outfit that you prefer the most! (Female),Please select 6 outfit that you prefer the most! (Male)
2022/07/01 2:09:29 pm GMT+8,15 - 24,Female,Artsy Style;Ethnic Style;Girl Next Door Style;Kpop Style;Preppy Style;Vacation Style,
2022/07/01 2:10:15 pm GMT+8,15 - 24,Male,,Biker Style;Ethnic Style;Formal Office Style;Punk Style;Sporty Style;Vintage Style
2022/07/01 2:11:24 pm GMT+8,15 - 24,Male,,Bohemian Style;Boy Next Door Style;Casual Style;Chic Style;Classy Style;Comfy Style
2022/07/01 2:15:05 pm GMT+8,15 - 24,Female,Comfy Style;Grunge Style;Hip Hop Style;Lolita Style;Punk Style;Sexy Style,
2022/07/01 2:18:02 pm GMT+8,15 - 24,Male,,Biker Style;Casual Style;Classy Style;Comfy Style;Punk Style;Streetwear Style
2022/07/01 2:18:03 pm GMT+8,15 - 24,Female,Casual Style;Comfy Style;Girl Next Door Style;Indie Style;Kpop Style;Streetwear Style,
2022/07/01 2:18:04 pm GMT+8,15 - 24,Male,,Bohemian Style;Boy Next Door Style;Casual Style;Comfy Style;Preppy Style;Vacation Style
2022/07/01 2:18:16 pm GMT+8,15 - 24,Female,Biker Style;Casual Style;Classy Style;Comfy Style;Girl Next Door Style;Streetwear Style,
2022/07/01 2:19:18 pm GMT+8,25 - 54,Female,Bohemian Style;Classy Style;Comfy Style;Formal Office Style;Girl Next Door Style;Streetwear Style,
2022/07/01 2:19:29 pm GMT+8,15 - 24,Male,,Biker Style;Casual Style;Comfy Style;Evening Style;Preppy Style;Vacation Style
2022/07/01 2:20:26 pm GMT+8,15 - 24,Male,,Bohemian Style;Boy Next Door Style;Casual Style;Comfy Style;Sporty Style;Vacation Style
2022/07/01 2:20:40 pm GMT+8,15 - 24,Male,,Artsy Style;Classy Style;Comfy Style;Streetwear Style;Vintage Style;Y2k Style
2022/07/01 2:21:03 pm GMT+8,15 - 24,Female,Comfy Style;Ethnic Style;Hip Hop Style;Indie Style;Sexy Style;Streetwear Style,
2022/07/01 2:21:06 pm GMT+8,15 - 24,Male,,Classy Style;Comfy Style;Formal Office Style;Punk Style;Streetwear Style;Varsity Style
2022/07/01 2:21:43 pm GMT+8,15 - 24,Female,Casual Style;Comfy Style;Girl Next Door Style;Hip Hop Style;Punk Style;Streetwear Style,
2022/07/01 2:21:44 pm GMT+8,15 - 24,Female,Casual Style;Comfy Style;Formal Office Style;Girl Next Door Style;Preppy Style;Sexy Style,
2022/07/01 2:23:19 pm GMT+8,55 - 64,Male,,Biker Style;Casual Style;Chic Style;Evening Style;Grunge Style;Ivy Style
2022/07/01 2:23:32 pm GMT+8,15 - 24,Male,,Bohemian Style;Boy Next Door Style;Casual Style;Preppy Style;Sporty Style;Varsity Style
2022/07/01 2:23:40 pm GMT+8,14 and below,Female,Artsy Style;Indie Style;Lolita Style;Preppy Style;Vintage Style;Y2k Style,
2022/07/01 2:23:57 pm GMT+8,15 - 24,Female,Artsy Style;Bohemian Style;Chic Style;Ethnic Style;Formal Office Style;Girl Next Door Style,
2022/07/01 2:24:02 pm GMT+8,15 - 24,Female,Biker Style;Casual Style;Chic Style;Classy Style;Hip Hop Style;Streetwear Style,
2022/07/01 2:24:33 pm GMT+8,15 - 24,Male,,Biker Style;Boy Next Door Style;Casual Style;Punk Style;Vacation Style;Varsity Style
2022/07/01 2:24:37 pm GMT+8,25 - 54,Female,Bohemian Style;Comfy Style;Hip Hop Style;Sexy Style;Sporty Style;Vacation Style,
2022/07/01 2:25:00 pm GMT+8,55 - 64,Female,Bohemian Style;Casual Style;Comfy Style;Sexy Style;Sporty Style;Vacation Style,
2022/07/01 2:25:35 pm GMT+8,15 - 24,Female,Chic Style;Evening Style;Indie Style;Kpop Style;Preppy Style;Vacation Style,
2022/07/01 2:25:51 pm GMT+8,55 - 64,Male,,Chic Style;Classy Style;Ethnic Style;Evening Style;Ivy Style;Vacation Style
2022/07/01 2:26:18 pm GMT+8,55 - 64,Male,,Boy Next Door Style;Rugged Style;Sporty Style;Streetwear Style;Vacation Style;Vintage Style
2022/07/01 2:26:43 pm GMT+8,65 and above,Male,,Biker Style;Casual Style;Chic Style;Comfy Style;Ethnic Style;Evening Style
2022/07/01 2:27:13 pm GMT+8,25 - 54,Male,,Classy Style;Evening Style;Formal Office Style;Indie Style;Ivy Style;Preppy Style
2022/07/01 2:27:52 pm GMT+8,14 and below,Male,,Bohemian Style;Boy Next Door Style;Comfy Style;Grunge Style;Hip Hop Style;Indie Style
2022/07/01 2:28:31 pm GMT+8,14 and below,Male,,Artsy Style;Indie Style;Streetwear Style;Varsity Style;Vintage Style;Y2k Style
2022/07/01 2:29:28 pm GMT+8,65 and above,Male,,Artsy Style;Bohemian Style;Comfy Style;Grunge Style;Vintage Style;Y2k Style
2022/07/01 2:30:19 pm GMT+8,14 and below,Female,Artsy Style;Casual Style;Girl Next Door Style;Indie Style;Streetwear Style;Vintage Style,
2022/07/01 2:31:00 pm GMT+8,14 and below,Male,,Artsy Style;Boy Next Door Style;Casual Style;Comfy Style;Evening Style;Indie Style
2022/07/01 2:34:45 pm GMT+8,65 and above,Female,Artsy Style;Biker Style;Bohemian Style;Sexy Style;Sporty Style;Streetwear Style,
2022/07/01 2:35:11 pm GMT+8,55 - 64,Female,Casual Style;Comfy Style;Formal Office Style;Grunge Style;Indie Style;Lolita Style,
2022/07/01 2:35:16 pm GMT+8,65 and above,Female,Biker Style;Bohemian Style;Chic Style;Comfy Style;Ethnic Style;Girl Next Door Style,
2022/07/01 2:35:56 pm GMT+8,25 - 54,Female,Chic Style;Ethnic Style;Hip Hop Style;Sexy Style;Vintage Style;Y2k Style,
2022/07/01 2:36:13 pm GMT+8,14 and below,Male,,Boy Next Door Style;Casual Style;Comfy Style;Hip Hop Style;Ivy Style;Preppy Style
2022/07/01 2:36:15 pm GMT+8,65 and above,Male,,Biker Style;Casual Style;Classy Style;Ethnic Style;Grunge Style;Indie Style
2022/07/01 2:37:13 pm GMT+8,65 and above,Male,,Bohemian Style;Chic Style;Evening Style;Hip Hop Style;Ivy Style;Streetwear Style
2022/07/01 2:37:36 pm GMT+8,15 - 24,Male,,Biker Style;Bohemian Style;Boy Next Door Style;Classy Style;Formal Office Style;Preppy Style
2022/07/01 2:42:14 pm GMT+8,15 - 24,Female,Artsy Style;Casual Style;Girl Next Door Style;Kpop Style;Preppy Style;Streetwear Style,
2022/07/01 2:42:47 pm GMT+8,55 - 64,Female,Bohemian Style;Chic Style;Ethnic Style;Evening Style;Formal Office Style;Sexy Style,
2022/07/01 2:43:35 pm GMT+8,65 and above,Male,,Classy Style;Ethnic Style;Evening Style;Formal Office Style;Ivy Style;Preppy Style
2022/07/01 2:43:40 pm GMT+8,25 - 54,Male,,Biker Style;Casual Style;Classy Style;Comfy Style;Formal Office Style;Rugged Style
2022/07/01 2:44:14 pm GMT+8,15 - 24,Female,Grunge Style;Indie Style;Kpop Style;Lolita Style;Vintage Style;Y2k Style,
2022/07/01 2:44:46 pm GMT+8,14 and below,Female,Artsy Style;Biker Style;Girl Next Door Style;Indie Style;Vintage Style;Y2k Style,
2022/07/01 2:45:05 pm GMT+8,14 and below,Female,Biker Style;Chic Style;Classy Style;Hip Hop Style;Punk Style;Streetwear Style,
2022/07/01 2:45:34 pm GMT+8,14 and below,Female,Bohemian Style;Casual Style;Ethnic Style;Grunge Style;Vacation Style;Vintage Style,
2022/07/01 2:45:53 pm GMT+8,15 - 24,Female,Casual Style;Comfy Style;Girl Next Door Style;Sporty Style;Streetwear Style;Vacation Style,
2022/07/01 2:45:56 pm GMT+8,14 and below,Female,Casual Style;Chic Style;Classy Style;Girl Next Door Style;Sexy Style;Sporty Style,
2022/07/01 2:46:19 pm GMT+8,14 and below,Female,Chic Style;Classy Style;Evening Style;Formal Office Style;Sexy Style;Vacation Style,
2022/07/01 2:46:41 pm GMT+8,14 and below,Female,Chic Style;Classy Style;Evening Style;Formal Office Style;Sexy Style;Vacation Style,
