Gender,Please choose 6  courses that you will choose /  interest you / have chosen,Business & Financial Technology (SIT),Information Technology (SIT),Infocomm & Security (SIT),Cybersecurity  & Digital Forensics (SIT),Business Intelligence & Analytics (SIT),Common ICT Programme (SIT),Experiential Product & Interior Design (SDM),Animation & Visual Effects (SDM),Architecture  (SDM),Interaction Design (SDM),Digital Game Art & Design (SDM),Visual Communication (SDM),Motion Graphics Design (SDM),Game Development & Technology (SDM),Applied Chemistry (SAS),Biologics & Process Technology (SAS),Chemical & Pharmaceutical Technology (SAS),Food Science & Nutrition (SAS),Pharmaceutical Science (SAS),Accountancy & Finance (SBM),Banking & Finance (SBM),Business Management (SBM),Food & Beverage Business (SBM),Hospitality & Tourism Management (SBM),Mass Media Management (SBM),Sport & Wellness Management (SBM),Common Business Programme (SBM),Advanced & Digital Manufacturing (SEG),Aeronautical & Aerospace Technology (SEG),Aerospace Systems & Management (SEG),AI & Data Engineering (SEG),Biomedical Engineering (SEG),Electronic & Computer Engineering (SEG),Engineering with Business (SEG),Infocomm & Media Engineering (SEG),Nanotechnology & Materials Science (SEG),Robotics & Mechatronics (SEG),Common Engineering Programme (SEG),Nursing (SHSS),Oral Health Therapy (SHSS),Social Work (SHSS),sum
Female,"Business & Financial Technology (SIT), Information Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Business Intelligence & Analytics (SIT), Common ICT Programme (SIT)",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Business & Financial Technology (SIT), Experiential Product & Interior Design (SDM), Architecture  (SDM), Accountancy & Finance (SBM), Oral Health Therapy (SHSS), Social Work (SHSS)",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6
Male,"Business & Financial Technology (SIT), Business Intelligence & Analytics (SIT), Accountancy & Finance (SBM), Business Management (SBM), Food & Beverage Business (SBM), Common Business Programme (SBM)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Information Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Business Intelligence & Analytics (SIT), Common ICT Programme (SIT)",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Business & Financial Technology (SIT), Hospitality & Tourism Management (SBM), Sport & Wellness Management (SBM), Common Business Programme (SBM), Nanotechnology & Materials Science (SEG), Common Engineering Programme (SEG)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6
Male,"Information Technology (SIT), Experiential Product & Interior Design (SDM), Game Development & Technology (SDM), AI & Data Engineering (SEG), Robotics & Mechatronics (SEG), Common Engineering Programme (SEG)",0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,6
Male,"Business & Financial Technology (SIT), Business Intelligence & Analytics (SIT), Banking & Finance (SBM), Business Management (SBM), Common Business Programme (SBM), Oral Health Therapy (SHSS)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
Female,"Visual Communication (SDM), Motion Graphics Design (SDM), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Sport & Wellness Management (SBM)",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Information Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Business Intelligence & Analytics (SIT), Common ICT Programme (SIT)",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Business Intelligence & Analytics (SIT), Accountancy & Finance (SBM), Business Management (SBM), Sport & Wellness Management (SBM), Nursing (SHSS)",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6
Female,"Business & Financial Technology (SIT), Information Technology (SIT), Cybersecurity  & Digital Forensics (SIT), Common ICT Programme (SIT), Game Development & Technology (SDM), Business Management (SBM)",1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Food & Beverage Business (SBM), Hospitality & Tourism Management (SBM), Sport & Wellness Management (SBM), Oral Health Therapy (SHSS)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6
Male,"Business Intelligence & Analytics (SIT), Applied Chemistry (SAS), Chemical & Pharmaceutical Technology (SAS), Pharmaceutical Science (SAS), Hospitality & Tourism Management (SBM), Biomedical Engineering (SEG)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Hospitality & Tourism Management (SBM), Mass Media Management (SBM), Sport & Wellness Management (SBM), Infocomm & Media Engineering (SEG), Social Work (SHSS)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6
Female,"Business & Financial Technology (SIT), Information Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Business Intelligence & Analytics (SIT), Common ICT Programme (SIT)",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Business Intelligence & Analytics (SIT), Interaction Design (SDM), Applied Chemistry (SAS), Banking & Finance (SBM), Social Work (SHSS)",1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
Male,"Business & Financial Technology (SIT), Information Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Common ICT Programme (SIT), Architecture  (SDM)",1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Animation & Visual Effects (SDM), Digital Game Art & Design (SDM), Game Development & Technology (SDM), Biologics & Process Technology (SAS), Mass Media Management (SBM)",1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Animation & Visual Effects (SDM), Architecture  (SDM), Applied Chemistry (SAS), Food Science & Nutrition (SAS), Business Management (SBM), Hospitality & Tourism Management (SBM)",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Cybersecurity  & Digital Forensics (SIT), Applied Chemistry (SAS), Chemical & Pharmaceutical Technology (SAS), Pharmaceutical Science (SAS), Hospitality & Tourism Management (SBM), Aerospace Systems & Management (SEG)",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Applied Chemistry (SAS), Pharmaceutical Science (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Business Management (SBM), Nanotechnology & Materials Science (SEG)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6
Female,"Information Technology (SIT), Common ICT Programme (SIT), Architecture  (SDM), Digital Game Art & Design (SDM), Motion Graphics Design (SDM), Game Development & Technology (SDM)",0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Digital Game Art & Design (SDM), Applied Chemistry (SAS), Food Science & Nutrition (SAS), Pharmaceutical Science (SAS), Banking & Finance (SBM), Hospitality & Tourism Management (SBM)",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Information Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Business Intelligence & Analytics (SIT), Common ICT Programme (SIT)",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Animation & Visual Effects (SDM), Digital Game Art & Design (SDM), Motion Graphics Design (SDM), Applied Chemistry (SAS), Biologics & Process Technology (SAS), Pharmaceutical Science (SAS)",0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Female,"Information Technology (SIT), Cybersecurity  & Digital Forensics (SIT), Business Intelligence & Analytics (SIT), Common ICT Programme (SIT), Food & Beverage Business (SBM), Sport & Wellness Management (SBM)",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Information Technology (SIT), Infocomm & Security (SIT), Cybersecurity  & Digital Forensics (SIT), Digital Game Art & Design (SDM), Game Development & Technology (SDM), AI & Data Engineering (SEG)",0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Female,"Business & Financial Technology (SIT), Accountancy & Finance (SBM), Banking & Finance (SBM), Business Management (SBM), Common Business Programme (SBM), AI & Data Engineering (SEG)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
Female,"Information Technology (SIT), Common ICT Programme (SIT), Hospitality & Tourism Management (SBM), AI & Data Engineering (SEG), Robotics & Mechatronics (SEG), Common Engineering Programme (SEG)",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,6
Female,"Information Technology (SIT), Cybersecurity  & Digital Forensics (SIT), Common ICT Programme (SIT), Game Development & Technology (SDM), AI & Data Engineering (SEG), Infocomm & Media Engineering (SEG)",0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Food Science & Nutrition (SAS), Accountancy & Finance (SBM), Banking & Finance (SBM), Business Management (SBM), Hospitality & Tourism Management (SBM)",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Male,"Business & Financial Technology (SIT), Business Intelligence & Analytics (SIT), Digital Game Art & Design (SDM), Motion Graphics Design (SDM), Applied Chemistry (SAS), Business Management (SBM)",1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
